image_path,dataset_sample_index,select_category,pg_box,pg_mask,note
000000232088.jpg,102,tv,0,0,
000000232646.jpg,103,stop sign,1,1,
000000235057.jpg,104,giraffe,1,1,
000000245576.jpg,105,keyboard,1,0,
000000246436.jpg,106,oven,0,0,
000000248284.jpg,107,umbrella,1,1,
000000250137.jpg,108,umbrella,1,1,
000000259690.jpg,111,chair,0,0,
000000261888.jpg,112,bicycle,1,1,
000000261982.jpg,113,skateboard,0,0,
000000268831.jpg,116,sink,0,0,
000000269121.jpg,117,person,1,0,
000000270677.jpg,119,skateboard,1,1,
000000271402.jpg,120,tennis racket,1,1,
000000275392.jpg,121,horse,1,1,
000000277020.jpg,122,dining table,1,1,
000000278463.jpg,123,laptop,0,0,
000000278848.jpg,124,bus,1,1,
000000280325.jpg,125,parking meter,1,1,
000000284279.jpg,127,bird,1,1,
000000290619.jpg,128,banana,1,1,
000000297353.jpg,129,person,1,1,
000000298396.jpg,130,dining table,0,0,
000000298738.jpg,131,bear,1,1,
000000305695.jpg,133,truck,1,1,
000000308394.jpg,134,bench,0,0,
000000312213.jpg,135,cat,1,1,
000000315257.jpg,136,bird,1,1,
000000320696.jpg,137,surfboard,0,0,
000000328337.jpg,138,frisbee,1,0,
000000335177.jpg,139,truck,0,0,
000000342971.jpg,140,person,1,1,
000000347174.jpg,141,bed,1,0,
000000348488.jpg,142,vase,1,1,
000000349594.jpg,143,donut,1,1,
000000350405.jpg,144,snowboard,1,1,
000000351362.jpg,145,sink,1,1,
000000351530.jpg,146,bicycle,1,1,
000000353970.jpg,147,chair,1,1,
000000355257.jpg,148,person,1,0,
000000357888.jpg,149,kite,0,0,
000000359781.jpg,150,giraffe,1,1,
000000359833.jpg,151,person,0,0,
000000361147.jpg,152,tennis racket,1,1,
000000364636.jpg,153,dog,1,1,
000000365385.jpg,154,sink,0,0,
000000365655.jpg,155,bus,1,1,
000000366178.jpg,156,fire hydrant,1,1,
000000374982.jpg,159,pizza,1,1,
000000376625.jpg,160,train,1,1,
000000379332.jpg,161,tennis racket,1,1,
000000384850.jpg,162,toilet,1,1,
000000386879.jpg,164,tennis racket,1,1,
000000387098.jpg,165,laptop,1,1,
000000389197.jpg,166,surfboard,1,0,
000000389812.jpg,168,person,1,1,
000000391722.jpg,169,cake,1,1,
000000395633.jpg,172,boat,1,1,
000000396526.jpg,173,dining table,1,1,
000000398203.jpg,174,sports ball,1,1,
000000402774.jpg,175,person,1,1,
000000406997.jpg,176,sheep,1,1,
000000407403.jpg,177,vase,1,1,
000000411774.jpg,178,person,1,0,
000000414133.jpg,179,stop sign,1,1,
000000415748.jpg,181,elephant,1,1,
000000416256.jpg,182,cat,1,1,
000000416885.jpg,183,dining table,1,1,
000000417285.jpg,184,cup,1,1,
000000427655.jpg,186,horse,1,1,
000000433134.jpg,188,cat,1,1,
000000437514.jpg,189,bench,1,1,
000000438876.jpg,190,person,1,1,
000000444275.jpg,192,microwave,1,1,
000000445675.jpg,193,giraffe,1,1,
000000448256.jpg,194,truck,1,0,
000000448365.jpg,195,skateboard,1,1,
000000449432.jpg,196,bus,1,1,
000000455085.jpg,198,bus,1,1,
000000456559.jpg,199,person,1,1,
000000460927.jpg,201,bear,1,1,
000000467848.jpg,203,person,1,1,
000000474786.jpg,205,tv,0,0,
000000475150.jpg,206,giraffe,1,1,
000000475387.jpg,207,train,1,1,
000000476810.jpg,208,remote,1,1,
000000479953.jpg,209,person,1,1,
000000460333.jpg,210,bed,1,1,
000000486438.jpg,211,person,1,0,
000000490171.jpg,212,person,1,1,
000000491366.jpg,213,tv,0,0,
000000497599.jpg,217,laptop,1,1,
000000498857.jpg,218,giraffe,1,1,
000000505573.jpg,220,tie,0,0,
000000506310.jpg,221,refrigerator,1,1,
000000057149.jpg,223,bus,1,1,
000000515025.jpg,224,person,1,0,
000000516143.jpg,225,bus,1,1,
000000519338.jpg,226,train,1,1,
000000520531.jpg,227,cat,1,1,
000000521282.jpg,228,vase,1,1,
000000522940.jpg,229,stop sign,1,1,
000000528705.jpg,230,person,1,1,
000000533536.jpg,231,tv,1,1,
000000534601.jpg,232,teddy bear,1,1,
000000542423.jpg,233,bench,1,1,
000000549738.jpg,234,kite,1,0,
000000550322.jpg,235,cup,0,0,
000000550426.jpg,236,vase,0,0,
000000556873.jpg,237,cake,1,1,
000000557672.jpg,238,umbrella,1,1,
000000561256.jpg,240,person,1,1,
000000561465.jpg,241,dining table,1,1,
000000564091.jpg,242,person,1,1,
000000565776.jpg,243,oven,1,1,
000000568690.jpg,244,toilet,1,1,
000000570169.jpg,245,teddy bear,1,1,
000000572462.jpg,246,train,0,0,
000000575500.jpg,247,banana,1,1,
000000578545.jpg,248,book,1,1,
000000580410.jpg,249,couch,1,0,
