image_path,insertion_auc,deletion_auc,highest_confidence,sensitive_insertion_auc,sensitive_deletion_auc,sensitive_highest_confidence,point_game_box,point_game_mask
000000416885.jpg,0.5055999755859375,0.5974273681640625,0.75,,,,1.0,1.0
000000417285.jpg,0.2730374336242676,0.018958836793899536,0.494140625,,,,1.0,1.0
000000427655.jpg,0.5998893834184855,0.2770293913781643,0.8828125,0.5998893834184855,0.2770293913781643,0.8828125,1.0,1.0
000000433134.jpg,0.8607978820800781,0.6094808578491211,0.99609375,0.8607978820800781,0.6094808578491211,0.99609375,1.0,1.0
000000437514.jpg,0.3910606801509857,0.11060228943824768,0.74609375,0.3910606801509857,0.11060228943824768,0.74609375,0.0,0.0
000000438876.jpg,1.2810730822820915e-05,4.333521701482823e-06,3.4332275390625e-05,,,,0.0,0.0
000000444275.jpg,0.6507609710097313,0.03393265523482114,0.82421875,0.6507609710097313,0.03393265523482114,0.82421875,1.0,1.0
000000445675.jpg,1.0,0.9998779296875,1.0,,,,0.0,0.0
000000448256.jpg,0.01469188928604126,0.03202566970139742,0.0419921875,,,,1.0,1.0
000000448365.jpg,0.8541259765625,0.7056808471679688,0.98828125,0.8541259765625,0.7056808471679688,0.98828125,0.0,0.0
000000449432.jpg,0.023732587695121765,0.41945743560791016,0.07666015625,,,,0.0,0.0
000000455085.jpg,0.257688045501709,0.2903022766113281,0.58203125,,,,0.0,0.0
000000456559.jpg,0.1496559977531433,0.17053711414337158,0.498046875,,,,0.0,0.0
000000460927.jpg,0.4300827980041504,0.2823600172996521,0.68359375,0.4300827980041504,0.2823600172996521,0.68359375,0.0,0.0
000000467848.jpg,0.15365156531333923,0.19204068183898926,0.494140625,,,,0.0,0.0
000000474786.jpg,0.0004597457591444254,1.8513965187594295e-06,0.001983642578125,,,,0.0,0.0
000000475150.jpg,0.99993896484375,1.0,1.0,,,,1.0,1.0
000000475387.jpg,0.31114163994789124,0.27425214648246765,0.71484375,,,,0.0,0.0
000000476810.jpg,0.7010631561279297,0.2849869430065155,0.88671875,0.7010631561279297,0.2849869430065155,0.88671875,0.0,0.0
000000479953.jpg,0.00045689550461247563,0.0002695145085453987,0.008544921875,,,,0.0,0.0
000000460333.jpg,0.46741247177124023,0.5732593536376953,0.73828125,0.46741247177124023,0.5732593536376953,0.73828125,0.0,0.0
000000486438.jpg,0.37191492319107056,0.14963366091251373,0.671875,0.37191492319107056,0.14963366091251373,0.671875,0.0,0.0
000000490171.jpg,0.06870591640472412,0.027909860014915466,0.333984375,,,,0.0,0.0
000000491366.jpg,0.31091850996017456,0.04714250564575195,0.53125,,,,0.0,0.0
