method,insertion_auc_mean,insertion_auc_standard_error,insertion_auc_n,deletion_auc_mean,deletion_auc_standard_error,deletion_auc_n,highest_confidence_mean,highest_confidence_standard_error,highest_confidence_n,sensitive_insertion_auc_mean,sensitive_insertion_auc_standard_error,sensitive_insertion_auc_n,sensitive_deletion_auc_mean,sensitive_deletion_auc_standard_error,sensitive_deletion_auc_n,sensitive_highest_confidence_mean,sensitive_highest_confidence_standard_error,sensitive_highest_confidence_n,point_game_box_mean,point_game_box_standard_error,point_game_box_n,point_game_mask_mean,point_game_mask_standard_error,point_game_mask_n
"Our method (old prompt, linear PG)",0.9425033267125229,0.00835668053936816,200,0.214216703384919,0.011513372915808907,200,0.9894112418591976,0.003915133185964977,200,0.9587167072652336,0.004567388482250004,194,0.21645259492408425,0.011742505150476527,194,0.9956602534068,0.0013373083316033745,194,0.865,0.024224141785131024,200,0.725,0.031652557907861936,200
Input-level deletion (linear PG),0.945014122956195,0.007673651305095901,200,0.24554225544441596,0.013079943855933696,200,0.9890185564756393,0.0032096732381056226,200,0.9594404722337443,0.004664783864983624,193,0.2440180003655825,0.013150655402884313,193,0.9947170667697729,0.0019384787111499148,193,0.875,0.023444042219248146,200,0.74,0.031093957143700307,200
TAM,0.4635976421466671,0.025081868793353918,200,0.33449526314014977,0.024328596020956897,200,0.6569204998016357,0.023283493569020448,200,0.6007491720583179,0.02941900045079317,67,0.34911010627210864,0.029106078685253164,67,0.8467234141791045,0.018238188576846507,67,0.47,0.035380203419000424,200,0.405,0.03479841445010399,200
LLaVA-CAM,0.40892505831978043,0.02467766368608143,200,0.4156081442349728,0.024690903411181905,200,0.6418963897228241,0.024303169136748952,200,0.514185461306027,0.030033997236742438,67,0.4829683534548194,0.03136879515315193,67,0.8545359141791045,0.01882216832097711,67,0.28,0.031828687164775826,200,0.18,0.02723432655149688,200
