image_path,insertion_auc,deletion_auc,highest_confidence,sensitive_insertion_auc,sensitive_deletion_auc,sensitive_highest_confidence,point_game_box,point_game_mask
000000005060.jpg,0.9895457840712784,0.08623067206620726,0.9997669458389282,0.9895457840712784,0.08623067206620726,0.9997669458389282,1.0,1.0
000000005503.jpg,0.9438452279126204,0.5596700948145655,0.9997215270996094,0.9438452279126204,0.5596700948145655,0.9997215270996094,1.0,0.0
000000007386.jpg,0.9672028756871515,0.07604740270323179,0.9988165497779846,0.9672028756871515,0.07604740270323179,0.9988165497779846,1.0,1.0
000000015272.jpg,0.9654340631719949,0.08992939234731899,0.9998838901519775,0.9654340631719949,0.08992939234731899,0.9998838901519775,0.0,0.0
000000018737.jpg,0.9876282454832741,0.2617802960417765,0.9999480843544006,0.9876282454832741,0.2617802960417765,0.9999480843544006,1.0,0.0
000000027696.jpg,0.6827505270424096,0.008297429218604841,0.7980344295501709,0.6827505270424096,0.008297429218604841,0.7980344295501709,1.0,0.0
000000042276.jpg,0.982972229138399,0.248154182273608,0.9997232556343079,0.982972229138399,0.248154182273608,0.9997232556343079,1.0,1.0
000000045728.jpg,0.46135239724231797,0.02315117359289256,0.7068099975585938,,,,0.0,0.0
000000047112.jpg,0.9801403347336118,0.3541834526445956,0.9998692870140076,0.9801403347336118,0.3541834526445956,0.9998692870140076,1.0,1.0
000000050811.jpg,0.9836456650801798,0.6859830168716373,0.9999341368675232,0.9836456650801798,0.6859830168716373,0.9999341368675232,1.0,1.0
000000060090.jpg,0.984226168109023,0.720654626043203,0.9999361038208008,0.984226168109023,0.720654626043203,0.9999361038208008,1.0,1.0
000000062554.jpg,0.9713880422754565,0.5939613855538378,0.9999405741691589,0.9713880422754565,0.5939613855538378,0.9999405741691589,1.0,1.0
000000063602.jpg,0.9890379503153373,0.4431320117921501,0.9999539852142334,0.9890379503153373,0.4431320117921501,0.9999539852142334,1.0,1.0
