method,insertion_auc_mean,insertion_auc_standard_error,insertion_auc_n,deletion_auc_mean,deletion_auc_standard_error,deletion_auc_n,highest_confidence_mean,highest_confidence_standard_error,highest_confidence_n,sensitive_insertion_auc_mean,sensitive_insertion_auc_standard_error,sensitive_insertion_auc_n,sensitive_deletion_auc_mean,sensitive_deletion_auc_standard_error,sensitive_deletion_auc_n,sensitive_highest_confidence_mean,sensitive_highest_confidence_standard_error,sensitive_highest_confidence_n,point_game_box_mean,point_game_box_standard_error,point_game_box_n,point_game_mask_mean,point_game_mask_standard_error,point_game_mask_n
"Our method (old prompt, linear PG)",0.9471265607878901,0.007136042125343383,150,0.2509363996186593,0.01355264136693631,150,0.9926545015970866,0.0027516374437015906,150,0.9575695416854022,0.004898441272758155,146,0.25337163192740036,0.013741214150792045,146,0.9959259596589494,0.0015203835946537515,146,0.92,0.02222520487067834,150,0.7933333333333333,0.033171868444173504,150
Input-level deletion (linear PG),0.9476718950280304,0.007274441531770189,150,0.28865117189698625,0.0152717913407267,150,0.9915435516834259,0.0030626293364959738,150,0.9573890768830555,0.00548657432080518,145,0.2871764110367208,0.015281550817952972,145,0.995617138517314,0.001919150216609847,145,0.88,0.02662188633840144,150,0.7466666666666667,0.035630048734966356,150
TAM,0.424827288515368,0.027506569163202085,150,0.29657902586005547,0.02531825750826163,150,0.6343591690063477,0.027157351319546264,150,0.5800493136168746,0.03188018152442652,58,0.3478547413351721,0.02899488399942097,58,0.8426050646551724,0.02001057944918439,58,0.4866666666666667,0.04094702931282213,150,0.4066666666666667,0.04024162665739062,150
LLaVA-CAM,0.37939861237330663,0.026634974659888205,150,0.3729495278095389,0.026815515334326277,150,0.6302601480484009,0.02811821241992002,150,0.5157349543758379,0.030980898449417718,58,0.47264451881647834,0.03343090663971315,58,0.857354525862069,0.020035528017881294,58,0.35333333333333333,0.03915970474562284,150,0.22666666666666666,0.03429920547036889,150
